Temperature (K)	Pressure (psia)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/psia)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
445.69	100.00	2.9891	0.33455	16.649	20.349	106.73	34.969	43.486	535.21	0.020724	15.590	0.058505	vapor
446.69	100.00	2.9823	0.33531	16.684	20.393	106.83	35.028	43.544	535.73	0.020599	15.617	0.058688	vapor
447.69	100.00	2.9756	0.33607	16.719	20.436	106.93	35.087	43.602	536.26	0.020475	15.644	0.058871	vapor
448.69	100.00	2.9689	0.33683	16.754	20.480	107.03	35.146	43.660	536.77	0.020351	15.671	0.059055	vapor
449.69	100.00	2.9622	0.33759	16.789	20.524	107.12	35.205	43.718	537.29	0.020229	15.697	0.059239	vapor
450.69	100.00	2.9555	0.33835	16.825	20.567	107.22	35.265	43.777	537.81	0.020107	15.724	0.059423	vapor
451.69	100.00	2.9489	0.33911	16.860	20.611	107.32	35.324	43.835	538.33	0.019986	15.751	0.059608	vapor
452.69	100.00	2.9423	0.33987	16.896	20.655	107.41	35.383	43.893	538.85	0.019865	15.778	0.059793	vapor
453.69	100.00	2.9357	0.34063	16.931	20.699	107.51	35.442	43.951	539.36	0.019746	15.805	0.059978	vapor
454.69	100.00	2.9292	0.34139	16.967	20.743	107.61	35.502	44.010	539.88	0.019627	15.832	0.060163	vapor
455.69	100.00	2.9227	0.34215	17.002	20.787	107.70	35.561	44.068	540.39	0.019510	15.858	0.060348	vapor
456.69	100.00	2.9162	0.34291	17.038	20.831	107.80	35.620	44.126	540.91	0.019393	15.885	0.060534	vapor
457.69	100.00	2.9097	0.34367	17.074	20.875	107.90	35.680	44.185	541.42	0.019276	15.912	0.060720	vapor
458.69	100.00	2.9033	0.34443	17.110	20.919	107.99	35.739	44.243	541.93	0.019161	15.938	0.060906	vapor
459.69	100.00	2.8969	0.34519	17.145	20.964	108.09	35.799	44.302	542.45	0.019046	15.965	0.061092	vapor
460.69	100.00	2.8906	0.34595	17.181	21.008	108.19	35.858	44.360	542.96	0.018932	15.992	0.061279	vapor
461.69	100.00	2.8842	0.34671	17.217	21.052	108.28	35.918	44.419	543.47	0.018819	16.018	0.061466	vapor
462.69	100.00	2.8779	0.34747	17.253	21.097	108.38	35.978	44.478	543.98	0.018707	16.045	0.061653	vapor
463.69	100.00	2.8716	0.34823	17.289	21.141	108.48	36.037	44.536	544.49	0.018595	16.071	0.061840	vapor
464.69	100.00	2.8654	0.34899	17.326	21.186	108.57	36.097	44.595	545.00	0.018484	16.098	0.062028	vapor
465.69	100.00	2.8592	0.34975	17.362	21.231	108.67	36.157	44.654	545.51	0.018374	16.124	0.062215	vapor
466.69	100.00	2.8530	0.35051	17.398	21.275	108.76	36.216	44.713	546.01	0.018264	16.151	0.062403	vapor
467.69	100.00	2.8468	0.35127	17.434	21.320	108.86	36.276	44.772	546.52	0.018155	16.177	0.062592	vapor
468.69	100.00	2.8406	0.35203	17.471	21.365	108.96	36.336	44.830	547.03	0.018047	16.203	0.062780	vapor
469.69	100.00	2.8345	0.35279	17.507	21.410	109.05	36.396	44.889	547.53	0.017940	16.230	0.062969	vapor
470.69	100.00	2.8284	0.35355	17.544	21.455	109.15	36.455	44.948	548.04	0.017833	16.256	0.063157	vapor
471.69	100.00	2.8224	0.35431	17.580	21.500	109.24	36.515	45.007	548.54	0.017727	16.282	0.063346	vapor
472.69	100.00	2.8163	0.35507	17.617	21.545	109.34	36.575	45.066	549.05	0.017622	16.309	0.063536	vapor
473.69	100.00	2.8103	0.35583	17.654	21.590	109.43	36.635	45.125	549.55	0.017518	16.335	0.063725	vapor
474.69	100.00	2.8043	0.35659	17.691	21.635	109.53	36.695	45.184	550.05	0.017414	16.361	0.063915	vapor
475.69	100.00	2.7984	0.35735	17.727	21.680	109.62	36.755	45.243	550.56	0.017311	16.387	0.064105	vapor
476.69	100.00	2.7924	0.35811	17.764	21.725	109.72	36.815	45.302	551.06	0.017208	16.414	0.064295	vapor
477.69	100.00	2.7865	0.35887	17.801	21.771	109.81	36.875	45.362	551.56	0.017106	16.440	0.064485	vapor
478.69	100.00	2.7806	0.35963	17.838	21.816	109.91	36.935	45.421	552.06	0.017005	16.466	0.064676	vapor
479.69	100.00	2.7748	0.36039	17.875	21.861	110.00	36.995	45.480	552.56	0.016904	16.492	0.064867	vapor
480.69	100.00	2.7690	0.36115	17.912	21.907	110.10	37.055	45.539	553.06	0.016804	16.518	0.065058	vapor
481.69	100.00	2.7631	0.36191	17.949	21.953	110.19	37.115	45.598	553.56	0.016705	16.544	0.065249	vapor
482.69	100.00	2.7574	0.36267	17.987	21.998	110.29	37.175	45.658	554.05	0.016607	16.570	0.065440	vapor
483.69	100.00	2.7516	0.36343	18.024	22.044	110.38	37.235	45.717	554.55	0.016509	16.596	0.065632	vapor
484.69	100.00	2.7459	0.36418	18.061	22.090	110.48	37.295	45.776	555.05	0.016411	16.622	0.065824	vapor
485.69	100.00	2.7401	0.36494	18.099	22.135	110.57	37.355	45.835	555.55	0.016315	16.648	0.066016	vapor
486.69	100.00	2.7345	0.36570	18.136	22.181	110.66	37.415	45.895	556.04	0.016219	16.674	0.066208	vapor
487.69	100.00	2.7288	0.36646	18.174	22.227	110.76	37.476	45.954	556.54	0.016123	16.700	0.066400	vapor
488.69	100.00	2.7232	0.36722	18.211	22.273	110.85	37.536	46.014	557.03	0.016028	16.726	0.066593	vapor
489.69	100.00	2.7175	0.36798	18.249	22.319	110.95	37.596	46.073	557.53	0.015934	16.752	0.066786	vapor
490.69	100.00	2.7119	0.36874	18.287	22.365	111.04	37.656	46.132	558.02	0.015840	16.777	0.066979	vapor
491.69	100.00	2.7064	0.36950	18.324	22.411	111.14	37.716	46.192	558.51	0.015747	16.803	0.067172	vapor
492.69	100.00	2.7008	0.37026	18.362	22.458	111.23	37.776	46.251	559.00	0.015655	16.829	0.067366	vapor
493.69	100.00	2.6953	0.37102	18.400	22.504	111.32	37.837	46.311	559.50	0.015563	16.855	0.067559	vapor
494.69	100.00	2.6898	0.37177	18.438	22.550	111.42	37.897	46.370	559.99	0.015472	16.880	0.067753	vapor
495.69	100.00	2.6843	0.37253	18.476	22.597	111.51	37.957	46.429	560.48	0.015381	16.906	0.067947	vapor
496.69	100.00	2.6789	0.37329	18.514	22.643	111.60	38.017	46.489	560.97	0.015291	16.932	0.068141	vapor
497.69	100.00	2.6734	0.37405	18.552	22.690	111.70	38.078	46.548	561.46	0.015201	16.958	0.068336	vapor
498.69	100.00	2.6680	0.37481	18.590	22.736	111.79	38.138	46.608	561.95	0.015112	16.983	0.068530	vapor
499.69	100.00	2.6626	0.37557	18.629	22.783	111.88	38.198	46.667	562.44	0.015024	17.009	0.068725	vapor
500.69	100.00	2.6573	0.37633	18.667	22.830	111.98	38.258	46.727	562.92	0.014936	17.034	0.068920	vapor
501.69	100.00	2.6519	0.37709	18.705	22.876	112.07	38.318	46.787	563.41	0.014848	17.060	0.069115	vapor
502.69	100.00	2.6466	0.37784	18.744	22.923	112.16	38.379	46.846	563.90	0.014762	17.085	0.069311	vapor
503.69	100.00	2.6413	0.37860	18.782	22.970	112.26	38.439	46.906	564.39	0.014675	17.111	0.069506	vapor
504.69	100.00	2.6360	0.37936	18.821	23.017	112.35	38.499	46.965	564.87	0.014590	17.136	0.069702	vapor
505.69	100.00	2.6308	0.38012	18.859	23.064	112.44	38.560	47.025	565.36	0.014505	17.162	0.069898	vapor
506.69	100.00	2.6255	0.38088	18.898	23.111	112.54	38.620	47.084	565.84	0.014420	17.187	0.070094	vapor
507.69	100.00	2.6203	0.38164	18.937	23.158	112.63	38.680	47.144	566.33	0.014336	17.213	0.070291	vapor
508.69	100.00	2.6151	0.38239	18.976	23.205	112.72	38.740	47.203	566.81	0.014252	17.238	0.070487	vapor
509.69	100.00	2.6099	0.38315	19.014	23.253	112.81	38.801	47.263	567.29	0.014169	17.264	0.070684	vapor
510.69	100.00	2.6048	0.38391	19.053	23.300	112.91	38.861	47.323	567.78	0.014087	17.289	0.070881	vapor
511.69	100.00	2.5996	0.38467	19.092	23.347	113.00	38.921	47.382	568.26	0.014005	17.314	0.071078	vapor
512.69	100.00	2.5945	0.38543	19.131	23.395	113.09	38.981	47.442	568.74	0.013923	17.339	0.071275	vapor
513.69	100.00	2.5894	0.38619	19.170	23.442	113.19	39.042	47.501	569.22	0.013842	17.365	0.071472	vapor
514.69	100.00	2.5844	0.38694	19.210	23.490	113.28	39.102	47.561	569.70	0.013762	17.390	0.071670	vapor
515.69	100.00	2.5793	0.38770	19.249	23.537	113.37	39.162	47.621	570.19	0.013682	17.415	0.071868	vapor
516.69	100.00	2.5743	0.38846	19.288	23.585	113.46	39.222	47.680	570.67	0.013602	17.440	0.072066	vapor
517.69	100.00	2.5693	0.38922	19.327	23.633	113.55	39.283	47.740	571.14	0.013523	17.466	0.072264	vapor
518.69	100.00	2.5643	0.38998	19.367	23.680	113.65	39.343	47.799	571.62	0.013445	17.491	0.072462	vapor
519.69	100.00	2.5593	0.39073	19.406	23.728	113.74	39.403	47.859	572.10	0.013367	17.516	0.072660	vapor
520.69	100.00	2.5543	0.39149	19.446	23.776	113.83	39.463	47.919	572.58	0.013289	17.541	0.072859	vapor
521.69	100.00	2.5494	0.39225	19.485	23.824	113.92	39.523	47.978	573.06	0.013212	17.566	0.073058	vapor
522.69	100.00	2.5445	0.39301	19.525	23.872	114.02	39.584	48.038	573.54	0.013135	17.591	0.073257	vapor
523.69	100.00	2.5396	0.39377	19.565	23.920	114.11	39.644	48.097	574.01	0.013059	17.616	0.073456	vapor
524.69	100.00	2.5347	0.39452	19.604	23.968	114.20	39.704	48.157	574.49	0.012983	17.641	0.073655	vapor
525.69	100.00	2.5298	0.39528	19.644	24.016	114.29	39.764	48.216	574.96	0.012908	17.666	0.073855	vapor
526.69	100.00	2.5250	0.39604	19.684	24.065	114.38	39.825	48.276	575.44	0.012833	17.691	0.074055	vapor
527.69	100.00	2.5202	0.39680	19.724	24.113	114.47	39.885	48.336	575.91	0.012759	17.716	0.074254	vapor
528.69	100.00	2.5154	0.39756	19.764	24.161	114.57	39.945	48.395	576.39	0.012685	17.741	0.074454	vapor
529.69	100.00	2.5106	0.39831	19.804	24.210	114.66	40.005	48.455	576.86	0.012612	17.766	0.074655	vapor
530.69	100.00	2.5058	0.39907	19.844	24.258	114.75	40.065	48.514	577.34	0.012539	17.791	0.074855	vapor
531.69	100.00	2.5011	0.39983	19.884	24.307	114.84	40.125	48.574	577.81	0.012466	17.816	0.075055	vapor
532.69	100.00	2.4963	0.40059	19.924	24.355	114.93	40.185	48.633	578.28	0.012394	17.841	0.075256	vapor
533.69	100.00	2.4916	0.40134	19.965	24.404	115.02	40.246	48.693	578.75	0.012323	17.865	0.075457	vapor
534.69	100.00	2.4869	0.40210	20.005	24.453	115.11	40.306	48.753	579.23	0.012251	17.890	0.075658	vapor
535.69	100.00	2.4823	0.40286	20.045	24.502	115.20	40.366	48.812	579.70	0.012181	17.915	0.075859	vapor
536.69	100.00	2.4776	0.40362	20.086	24.550	115.30	40.426	48.872	580.17	0.012110	17.940	0.076060	vapor
537.69	100.00	2.4730	0.40437	20.126	24.599	115.39	40.486	48.931	580.64	0.012040	17.964	0.076262	vapor
538.69	100.00	2.4683	0.40513	20.167	24.648	115.48	40.546	48.991	581.11	0.011971	17.989	0.076464	vapor
539.69	100.00	2.4637	0.40589	20.208	24.697	115.57	40.606	49.050	581.58	0.011902	18.014	0.076665	vapor
540.69	100.00	2.4591	0.40665	20.248	24.746	115.66	40.666	49.110	582.05	0.011833	18.038	0.076867	vapor
541.69	100.00	2.4546	0.40741	20.289	24.796	115.75	40.726	49.169	582.51	0.011765	18.063	0.077070	vapor
542.69	100.00	2.4500	0.40816	20.330	24.845	115.84	40.786	49.228	582.98	0.011697	18.088	0.077272	vapor
543.69	100.00	2.4455	0.40892	20.371	24.894	115.93	40.846	49.288	583.45	0.011629	18.112	0.077474	vapor
544.69	100.00	2.4409	0.40968	20.412	24.943	116.02	40.906	49.347	583.92	0.011562	18.137	0.077677	vapor
545.69	100.00	2.4364	0.41043	20.453	24.993	116.11	40.966	49.407	584.38	0.011495	18.161	0.077880	vapor
546.69	100.00	2.4320	0.41119	20.494	25.042	116.20	41.026	49.466	584.85	0.011429	18.186	0.078082	vapor
547.69	100.00	2.4275	0.41195	20.535	25.092	116.29	41.086	49.526	585.32	0.011363	18.211	0.078286	vapor
548.69	100.00	2.4230	0.41271	20.576	25.141	116.38	41.146	49.585	585.78	0.011298	18.235	0.078489	vapor
549.69	100.00	2.4186	0.41346	20.617	25.191	116.47	41.206	49.644	586.25	0.011233	18.260	0.078692	vapor
